region,iso,porcentaje
UE-27,EU,25.899999999999999
Bélgica,BEL,25.399999999999999
Bulgaria,BGR,15.5
Rep. Checa,CZE,14.6
Dinamarca,DNK,7.7000000000000002
Alemania,DEU,31.600000000000001
Estonia,EST,3
Irlanda,IRL,29.199999999999999
Grecia,GRC,23.5
España,ESP,23.399999999999999
Francia,FRA,27.600000000000001
Croacia,HRV,25.100000000000001
Italia,ITA,31.100000000000001
Chipre,CYP,29.5
Letonia,LVA,6.4000000000000004
Lituania,LTU,11.5
Luxemburgo,LUX,32.600000000000001
Hungría,HUN,9.8000000000000007
Malta,MLT,46
Países Bajos,NLD,41.5
Austria,AUT,35.100000000000001
Polonia,POL,21
Portugal,PRT,20.199999999999999
Rumanía,ROU,21.300000000000001
Eslovenia,SVN,7
Eslovaquia,SVK,12.9
Finlandia,FIN,22.100000000000001
Suecia,SWE,24.899999999999999
Suiza,CHE,31.5
Serbia,SRB,9.5
Turquía,TUR,15.5
